Period_dt,County,Period,Unit,Price,Product,Locality
11/1/2024, Vaslui,Nov-24, Lei / kg,32.5,Nuts,VASLUI
12/1/2024, Vaslui,Dec-24, Lei / kg,,Nuts,VASLUI
1/1/2022, Vaslui,Jan-22, Lei / kg,,Peaches,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,,Peaches,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,,Peaches,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,,Peaches,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,,Peaches,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,,Peaches,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,,Peaches,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,,Peaches,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,,Peaches,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,,Peaches,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,,Peaches,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,,Peaches,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,,Peaches,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,,Peaches,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,,Peaches,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,,Peaches,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,,Peaches,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,,Peaches,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,6.38,Peaches,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,8,Peaches,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,,Peaches,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,,Peaches,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,,Peaches,BARLAD
12/1/2023, Vaslui,Dec-23, Lei / kg,,Peaches,BARLAD
1/1/2024, Vaslui,Jan-24, Lei / kg,,Peaches,BARLAD
2/1/2024, Vaslui,Feb-24, Lei / kg,,Peaches,BARLAD
3/1/2024, Vaslui,Mar-24, Lei / kg,,Peaches,BARLAD
4/1/2024, Vaslui,Apr-24, Lei / kg,,Peaches,BARLAD
5/1/2024, Vaslui,May-24, Lei / kg,,Peaches,BARLAD
6/1/2024, Vaslui,Jun-24, Lei / kg,6,Peaches,BARLAD
7/1/2024, Vaslui,Jul-24, Lei / kg,5.71,Peaches,BARLAD
8/1/2024, Vaslui,Aug-24, Lei / kg,6.57,Peaches,BARLAD
9/1/2024, Vaslui,Sep-24, Lei / kg,,Peaches,BARLAD
10/1/2024, Vaslui,Oct-24, Lei / kg,,Peaches,BARLAD
11/1/2024, Vaslui,Nov-24, Lei / kg,,Peaches,BARLAD
12/1/2024, Vaslui,Dec-24, Lei / kg,,Peaches,BARLAD
1/1/2022, Vaslui,Jan-22, Lei / kg,,Peaches,VASLUI
2/1/2022, Vaslui,Feb-22, Lei / kg,,Peaches,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,,Peaches,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,,Peaches,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,,Peaches,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,,Peaches,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,,Peaches,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,,Peaches,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,,Peaches,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,,Peaches,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,,Peaches,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,,Peaches,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,,Peaches,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,,Peaches,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,,Peaches,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,,Peaches,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,,Peaches,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,,Peaches,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,6.5,Peaches,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,8.5,Peaches,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,,Peaches,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,,Peaches,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,,Peaches,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,,Peaches,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,,Peaches,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,,Peaches,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,,Peaches,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,,Peaches,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,,Peaches,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,5.97,Peaches,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,6.67,Peaches,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,6.33,Peaches,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,,Peaches,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,,Peaches,VASLUI
11/1/2024, Vaslui,Nov-24, Lei / kg,,Peaches,VASLUI
12/1/2024, Vaslui,Dec-24, Lei / kg,,Peaches,VASLUI
1/1/2022, Vaslui,Jan-22, Lei / kg,4.75,Pears,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,5.5,Pears,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,7,Pears,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,,Pears,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,,Pears,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,,Pears,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,,Pears,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,,Pears,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,,Pears,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,6,Pears,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,6.5,Pears,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,7,Pears,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,7,Pears,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,7,Pears,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,7,Pears,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,,Pears,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,,Pears,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,,Pears,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,,Pears,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,8,Pears,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,8.5,Pears,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,8.5,Pears,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,8.75,Pears,BARLAD
12/1/2023, Vaslui,Dec-23, Lei / kg,8.25,Pears,BARLAD
1/1/2024, Vaslui,Jan-24, Lei / kg,9.75,Pears,BARLAD
2/1/2024, Vaslui,Feb-24, Lei / kg,10,Pears,BARLAD
3/1/2024, Vaslui,Mar-24, Lei / kg,10,Pears,BARLAD
4/1/2024, Vaslui,Apr-24, Lei / kg,,Pears,BARLAD
5/1/2024, Vaslui,May-24, Lei / kg,,Pears,BARLAD
6/1/2024, Vaslui,Jun-24, Lei / kg,,Pears,BARLAD
7/1/2024, Vaslui,Jul-24, Lei / kg,,Pears,BARLAD
8/1/2024, Vaslui,Aug-24, Lei / kg,6,Pears,BARLAD
9/1/2024, Vaslui,Sep-24, Lei / kg,12,Pears,BARLAD
10/1/2024, Vaslui,Oct-24, Lei / kg,7.33,Pears,BARLAD
11/1/2024, Vaslui,Nov-24, Lei / kg,8.5,Pears,BARLAD
12/1/2024, Vaslui,Dec-24, Lei / kg,,Pears,BARLAD
1/1/2022, Vaslui,Jan-22, Lei / kg,6,Pears,VASLUI
2/1/2022, Vaslui,Feb-22, Lei / kg,6.25,Pears,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,6,Pears,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,,Pears,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,,Pears,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,,Pears,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,,Pears,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,,Pears,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,,Pears,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,6,Pears,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,6.75,Pears,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,7,Pears,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,7,Pears,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,6.63,Pears,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,6,Pears,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,,Pears,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,,Pears,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,,Pears,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,,Pears,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,7.33,Pears,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,8.75,Pears,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,9,Pears,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,8.5,Pears,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,7.75,Pears,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,8.75,Pears,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,9.25,Pears,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,10,Pears,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,,Pears,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,,Pears,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,,Pears,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,,Pears,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,4.67,Pears,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,,Pears,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,7,Pears,VASLUI
11/1/2024, Vaslui,Nov-24, Lei / kg,8.67,Pears,VASLUI
12/1/2024, Vaslui,Dec-24, Lei / kg,,Pears,VASLUI
1/1/2022, Vaslui,Jan-22, Lei / kg,,Plums,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,,Plums,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,,Plums,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,,Plums,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,,Plums,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,,Plums,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,,Plums,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,5,Plums,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,4.5,Plums,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,,Plums,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,,Plums,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,,Plums,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,,Plums,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,,Plums,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,,Plums,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,,Plums,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,,Plums,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,,Plums,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,7,Plums,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,3.75,Plums,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,4.5,Plums,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,,Plums,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,,Plums,BARLAD
12/1/2023, Vaslui,Dec-23, Lei / kg,,Plums,BARLAD
1/1/2024, Vaslui,Jan-24, Lei / kg,,Plums,BARLAD
2/1/2024, Vaslui,Feb-24, Lei / kg,,Plums,BARLAD
3/1/2024, Vaslui,Mar-24, Lei / kg,,Plums,BARLAD
4/1/2024, Vaslui,Apr-24, Lei / kg,,Plums,BARLAD
5/1/2024, Vaslui,May-24, Lei / kg,,Plums,BARLAD
6/1/2024, Vaslui,Jun-24, Lei / kg,,Plums,BARLAD
7/1/2024, Vaslui,Jul-24, Lei / kg,4,Plums,BARLAD
8/1/2024, Vaslui,Aug-24, Lei / kg,4,Plums,BARLAD
9/1/2024, Vaslui,Sep-24, Lei / kg,4.25,Plums,BARLAD
10/1/2024, Vaslui,Oct-24, Lei / kg,,Plums,BARLAD
11/1/2024, Vaslui,Nov-24, Lei / kg,,Plums,BARLAD
12/1/2024, Vaslui,Dec-24, Lei / kg,,Plums,BARLAD
1/1/2022, Vaslui,Jan-22, Lei / kg,,Plums,VASLUI
2/1/2022, Vaslui,Feb-22, Lei / kg,,Plums,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,,Plums,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,,Plums,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,,Plums,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,,Plums,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,,Plums,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,4.83,Plums,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,4.44,Plums,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,,Plums,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,,Plums,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,,Plums,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,,Plums,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,,Plums,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,,Plums,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,,Plums,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,,Plums,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,,Plums,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,6.33,Plums,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,4,Plums,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,4.33,Plums,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,,Plums,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,,Plums,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,,Plums,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,,Plums,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,,Plums,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,,Plums,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,,Plums,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,,Plums,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,,Plums,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,4.17,Plums,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,3.71,Plums,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,4.2,Plums,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,,Plums,VASLUI
11/1/2024, Vaslui,Nov-24, Lei / kg,,Plums,VASLUI
12/1/2024, Vaslui,Dec-24, Lei / kg,,Plums,VASLUI
1/1/2022, Vaslui,Jan-22, Lei / kg,,Sour Cherries,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,,Sour Cherries,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,,Sour Cherries,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,,Sour Cherries,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,,Sour Cherries,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,9,Sour Cherries,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,9,Sour Cherries,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,,Sour Cherries,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,,Sour Cherries,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,,Sour Cherries,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,,Sour Cherries,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,,Sour Cherries,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,,Sour Cherries,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,,Sour Cherries,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,,Sour Cherries,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,,Sour Cherries,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,,Sour Cherries,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,12,Sour Cherries,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,10.67,Sour Cherries,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,,Sour Cherries,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,,Sour Cherries,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,,Sour Cherries,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,,Sour Cherries,BARLAD
12/1/2023, Vaslui,Dec-23, Lei / kg,,Sour Cherries,BARLAD
1/1/2024, Vaslui,Jan-24, Lei / kg,,Sour Cherries,BARLAD
2/1/2024, Vaslui,Feb-24, Lei / kg,,Sour Cherries,BARLAD
3/1/2024, Vaslui,Mar-24, Lei / kg,,Sour Cherries,BARLAD
4/1/2024, Vaslui,Apr-24, Lei / kg,,Sour Cherries,BARLAD
5/1/2024, Vaslui,May-24, Lei / kg,,Sour Cherries,BARLAD
6/1/2024, Vaslui,Jun-24, Lei / kg,8,Sour Cherries,BARLAD
7/1/2024, Vaslui,Jul-24, Lei / kg,,Sour Cherries,BARLAD
8/1/2024, Vaslui,Aug-24, Lei / kg,,Sour Cherries,BARLAD
9/1/2024, Vaslui,Sep-24, Lei / kg,,Sour Cherries,BARLAD
10/1/2024, Vaslui,Oct-24, Lei / kg,,Sour Cherries,BARLAD
11/1/2024, Vaslui,Nov-24, Lei / kg,,Sour Cherries,BARLAD
12/1/2024, Vaslui,Dec-24, Lei / kg,,Sour Cherries,BARLAD
1/1/2022, Vaslui,Jan-22, Lei / kg,,Sour Cherries,VASLUI
2/1/2022, Vaslui,Feb-22, Lei / kg,,Sour Cherries,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,,Sour Cherries,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,,Sour Cherries,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,,Sour Cherries,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,9.5,Sour Cherries,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,8.5,Sour Cherries,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,,Sour Cherries,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,,Sour Cherries,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,,Sour Cherries,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,,Sour Cherries,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,,Sour Cherries,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,,Sour Cherries,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,,Sour Cherries,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,,Sour Cherries,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,,Sour Cherries,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,,Sour Cherries,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,9,Sour Cherries,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,8,Sour Cherries,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,,Sour Cherries,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,,Sour Cherries,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,,Sour Cherries,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,,Sour Cherries,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,,Sour Cherries,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,,Sour Cherries,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,,Sour Cherries,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,,Sour Cherries,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,,Sour Cherries,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,,Sour Cherries,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,,Sour Cherries,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,,Sour Cherries,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,,Sour Cherries,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,,Sour Cherries,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,,Sour Cherries,VASLUI
11/1/2024, Vaslui,Nov-24, Lei / kg,,Sour Cherries,VASLUI
12/1/2024, Vaslui,Dec-24, Lei / kg,,Sour Cherries,VASLUI
1/1/2022, Vaslui,Jan-22, Lei / kg,,Strawberries,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,,Strawberries,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,,Strawberries,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,,Strawberries,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,10.5,Strawberries,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,8,Strawberries,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,,Strawberries,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,,Strawberries,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,,Strawberries,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,,Strawberries,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,,Strawberries,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,,Strawberries,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,,Strawberries,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,,Strawberries,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,,Strawberries,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,,Strawberries,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,15,Strawberries,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,10,Strawberries,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,,Strawberries,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,,Strawberries,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,,Strawberries,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,,Strawberries,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,,Strawberries,BARLAD
12/1/2023, Vaslui,Dec-23, Lei / kg,,Strawberries,BARLAD
1/1/2024, Vaslui,Jan-24, Lei / kg,,Strawberries,BARLAD
2/1/2024, Vaslui,Feb-24, Lei / kg,,Strawberries,BARLAD
3/1/2024, Vaslui,Mar-24, Lei / kg,,Strawberries,BARLAD
4/1/2024, Vaslui,Apr-24, Lei / kg,,Strawberries,BARLAD
5/1/2024, Vaslui,May-24, Lei / kg,14,Strawberries,BARLAD
6/1/2024, Vaslui,Jun-24, Lei / kg,12,Strawberries,BARLAD
7/1/2024, Vaslui,Jul-24, Lei / kg,,Strawberries,BARLAD
8/1/2024, Vaslui,Aug-24, Lei / kg,,Strawberries,BARLAD
9/1/2024, Vaslui,Sep-24, Lei / kg,,Strawberries,BARLAD
10/1/2024, Vaslui,Oct-24, Lei / kg,,Strawberries,BARLAD
11/1/2024, Vaslui,Nov-24, Lei / kg,,Strawberries,BARLAD
12/1/2024, Vaslui,Dec-24, Lei / kg,,Strawberries,BARLAD
1/1/2022, Vaslui,Jan-22, Lei / kg,,Strawberries,VASLUI
2/1/2022, Vaslui,Feb-22, Lei / kg,,Strawberries,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,,Strawberries,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,,Strawberries,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,12,Strawberries,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,11.67,Strawberries,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,,Strawberries,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,,Strawberries,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,,Strawberries,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,,Strawberries,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,,Strawberries,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,,Strawberries,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,,Strawberries,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,,Strawberries,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,,Strawberries,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,,Strawberries,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,13.17,Strawberries,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,9.73,Strawberries,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,,Strawberries,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,,Strawberries,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,,Strawberries,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,,Strawberries,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,,Strawberries,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,,Strawberries,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,,Strawberries,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,,Strawberries,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,,Strawberries,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,,Strawberries,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,14,Strawberries,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,13,Strawberries,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,,Strawberries,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,,Strawberries,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,,Strawberries,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,,Strawberries,VASLUI
