Period_dt,County,Period,Unit,Price,Product,Locality
2/1/2022, Vaslui,Feb-22, Lei / kg,34.25,Nuts,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,35,Nuts,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,35,Nuts,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,37.5,Nuts,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,38.5,Nuts,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,38,Nuts,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,38,Nuts,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,38,Nuts,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,38,Nuts,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,38,Nuts,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,38,Nuts,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,31.25,Nuts,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,30,Nuts,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,29.5,Nuts,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,30,Nuts,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,35.67,Nuts,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,35,Nuts,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,45,Nuts,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,45,Nuts,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,50,Nuts,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,46.67,Nuts,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,46.67,Nuts,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,35,Nuts,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,36,Nuts,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,41.25,Nuts,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,36.75,Nuts,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,36.5,Nuts,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,36.75,Nuts,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,37,Nuts,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,36.75,Nuts,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,35,Nuts,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,40,Nuts,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,41.67,Nuts,VASLUI
